kappa_gal,rho_dust_z8,p_dust_z8,rho_age_z4,p_age_z4,ks_stat,p_ks
1457142.8571428573,0.5808363450381259,6.2906045312483296e-27,0.005776202298512069,0.7811881584293188,0.557210873905698,1.8593287954843343e-05
1495918.367346939,0.5808363450381259,6.2906045312483296e-27,0.005776202298512069,0.7811881584293188,0.557210873905698,1.8593287954843343e-05
1534693.8775510206,0.5808363450381259,6.2906045312483296e-27,0.005776202298512069,0.7811881584293188,0.557210873905698,1.8593287954843343e-05
1573469.387755102,0.5808363450381259,6.2906045312483296e-27,0.005776202298512069,0.7811881584293188,0.557210873905698,1.8593287954843343e-05
1612244.8979591837,0.5808363450381259,6.2906045312483296e-27,0.005776202298512069,0.7811881584293188,0.557210873905698,1.8593287954843343e-05
1651020.4081632653,0.5808363450381259,6.2906045312483296e-27,0.005776202298512069,0.7811881584293188,0.557210873905698,1.8593287954843343e-05
1689795.918367347,0.5808363450381259,6.2906045312483296e-27,0.005776202298512069,0.7811881584293188,0.557210873905698,1.8593287954843343e-05
1728571.4285714286,0.5808363450381259,6.2906045312483296e-27,0.005776202298512069,0.7811881584293188,0.557210873905698,1.8593287954843343e-05
1767346.9387755103,0.5808363450381259,6.2906045312483296e-27,0.005776202298512069,0.7811881584293188,0.557210873905698,1.8593287954843343e-05
1806122.448979592,0.5808363450381259,6.2906045312483296e-27,0.005776202298512069,0.7811881584293188,0.557210873905698,1.8593287954843343e-05
1844897.9591836736,0.5808363450381259,6.2906045312483296e-27,0.005776202298512069,0.7811881584293188,0.557210873905698,1.8593287954843343e-05
1883673.4693877553,0.5808363450381259,6.2906045312483296e-27,0.005776202298512069,0.7811881584293188,0.557210873905698,1.8593287954843343e-05
1922448.979591837,0.5808363450381259,6.2906045312483296e-27,0.005776202298512069,0.7811881584293188,0.557210873905698,1.8593287954843343e-05
1961224.4897959186,0.5808363450381259,6.2906045312483296e-27,0.005776202298512069,0.7811881584293188,0.557210873905698,1.8593287954843343e-05
2000000.0,0.5808363450381259,6.2906045312483296e-27,0.005776202298512069,0.7811881584293188,0.557210873905698,1.8593287954843343e-05
