ID,RA,DEC,F115W_CIRC1,F115W_CIRC4,F444W_CIRC1,F444W_CIRC4,log_Mstar,z_best,phys_id,color_gradient,compactness
73878,53.0702727802815,-27.848215673047495,4.603239,5.1002855,7.482474,10.425001,7.590938390529442,8.61,73878,-0.24874985,0.7177432
74342,53.110591170187064,-27.847686751677948,2.0855153,4.4474454,8.001411,9.471667,7.7148636391545535,9.29,74342,0.6390936,0.8447733
74794,53.067173690853586,-27.847268558477577,4.585464,7.8090796,8.759587,11.699203,7.720369229592181,8.48,74794,0.26385987,0.7487337
75654,53.119927463882014,-27.846402286447198,5.3877006,6.0481815,71.46523,86.34953,7.878402079960699,10.79,75654,-0.079859465,0.8276273
75935,53.069566224050355,-27.84616811101517,0.25427133,0.2996721,4.240026,3.8816955,3.8576844986138705,11.71,75935,0.2742399,1.0923129
77159,53.133631549075076,-27.84498645454103,3.8164334,8.446871,71.6931,119.5585,8.395325770705114,9.26,77159,0.30733758,0.5996487
78233,53.171528493134424,-27.843922838845618,0.90174615,1.492963,5.29003,5.198146,7.352526183454248,9.21,78233,0.56643605,1.0176764
82060,53.133421750570704,-27.83910012680224,4.9681053,12.143543,61.158855,85.75797,8.189548711755478,8.18,82060,0.6033487,0.7131565
82298,53.075781719324326,-27.838852734102637,0.644445,0.5246605,3.97082,5.365205,7.038709073552588,8.92,82298,-0.5500339,0.7401059
83087,53.06773372422943,-27.837874451510416,2.3981762,4.382246,25.668093,41.43595,8.139579630846997,9.24,83087,0.13457982,0.6194643
84568,53.16601579611062,-27.83611209517144,1.8728791,1.082647,20.80208,27.092543,7.703442700909766,9.25,84568,-0.88191473,0.7678157
85641,53.0713458169218,-27.834785003558757,3.51658,3.6913924,6.3776946,8.737619,7.309838051126107,8.64,85641,-0.28914922,0.72991216
87674,53.16951568569152,-27.832045169797727,2.3343337,4.312945,10.375083,13.738879,7.764462137105356,9.02,87674,0.36162812,0.75516224
