z_phot,log_Mstar,dust
5.7364,8.45726,0.1
7.7226,9.82424,0.3
4.5785,8.32016,0.1
4.9296,8.64862,0.1
7.5297,9.67697,0.1
8.109,8.77793,0.0
4.4029,8.9244,0.1
8.0747,9.11917,0.1
4.4981,8.29323,0.1
4.5106,8.26219,0.0
7.4314,8.44663,0.0
4.9341,8.65359,0.0
4.2936,7.75036,0.0
4.1348,8.46526,0.1
6.7065,8.31885,0.1
7.736,9.21912,0.1
4.3767,8.29303,0.1
6.8867,8.35382,0.0
5.4389,8.1456,0.0
4.5585,7.86127,0.0
5.1274,8.31689,0.0
4.6645,8.482,0.1
4.5941,7.74399,0.1
5.4634,8.55077,0.0
7.1387,9.39154,0.1
4.0464,7.58455,0.0
4.4195,8.08375,0.1
4.2881,8.35053,0.1
4.7251,9.18532,0.1
4.6315,9.05678,0.2
4.4949,8.56546,0.1
4.3088,8.2155,0.1
7.1421,8.66074,0.0
4.9067,8.22323,0.1
4.6126,8.12701,0.1
4.6263,8.33236,0.0
4.309,8.44968,0.1
6.645,8.56015,0.0
4.6204,7.69729,0.1
4.6643,8.5321,0.1
4.5896,8.37217,0.0
6.5731,8.77883,0.1
4.796,9.3592,0.1
4.0225,8.70149,0.1
4.4933,7.69995,0.0
4.5988,7.73091,0.1
4.4719,8.18254,0.0
4.9108,8.32576,0.0
4.3791,8.35392,0.1
4.3846,8.54394,0.0
6.9015,8.1967,0.0
7.3189,8.63991,0.0
4.3985,7.63048,0.1
4.9458,7.99194,0.0
4.3297,8.51577,0.0
4.42,7.96444,0.0
4.5033,9.12741,0.3
4.6847,7.8604,0.1
4.9858,9.18144,0.1
4.0666,8.40179,0.1
4.0349,8.23602,0.0
6.0193,8.48946,0.0
4.1481,8.98507,0.0
4.2834,8.28324,0.1
6.1859,8.93504,0.0
5.8511,8.84604,0.1
4.12,7.88413,0.1
6.1647,9.34005,0.7
4.2917,7.02359,0.0
4.0505,8.10412,0.1
5.335,8.04192,0.0
4.3397,8.8719,0.1
6.4106,8.8141,0.0
4.6172,8.21373,0.1
7.126,8.37181,0.0
4.8532,9.29781,0.2
4.4354,9.35245,0.2
4.1545,8.13404,0.0
4.2628,8.95128,0.2
5.7834,8.83836,0.2
5.1442,9.374,0.2
4.3601,8.29876,0.0
4.9645,8.77468,0.1
4.3089,8.87352,0.1
4.6452,7.90911,0.1
9.9274,8.54631,0.0
4.1251,8.52687,0.2
4.4489,7.92208,0.1
4.4457,9.78485,0.2
4.1682,9.11567,0.2
4.3516,8.77923,0.1
6.4093,9.28634,0.4
4.2705,8.6694,0.0
4.3735,9.19603,0.1
4.7457,8.67164,0.1
4.0254,8.95713,0.1
5.8957,8.84368,0.1
6.698,8.00821,0.0
4.5027,8.19211,0.1
5.3419,10.31188,0.5
6.7343,8.68518,0.0
6.3212,8.2619,0.0
5.3523,8.09962,0.1
4.0579,8.05042,0.0
6.0292,8.40684,0.0
6.696,8.45474,0.1
7.4208,8.09311,0.0
8.0711,8.69074,0.1
4.417,7.62389,0.1
