ID,z_phot,z_best,MUV,z_spec,log_Mstar,log_Mhalo,t_cosmic_Gyr,t_stellar_Gyr,age_excess_Gyr,age_ratio,source
207868,9.45,9.45,-19.610494691407013,,8.181984978418331,10.32698497841833,0.5091965089490771,0.1838451292443626,-0.3253513797047145,0.36104946914070124,JADES-GOODS-S
208258,8.38,8.38,-19.86499171630362,,8.34567106524422,10.38367106524422,0.5989254507224028,0.2314841905725499,-0.3674412601498529,0.38649917163036207,JADES-GOODS-S
211388,8.52,8.52,-19.761361144729193,,8.290846543746367,10.342846543746367,0.5857437324357447,0.22031937159524628,-0.36542436084049845,0.3761361144729193,JADES-GOODS-S
213084,8.5,8.5,-18.990660594789166,,7.925563782524854,9.975563782524855,0.5875971598572068,0.17573036715949783,-0.411866792697709,0.2990660594789165,JADES-GOODS-S
213592,8.62,8.62,-18.688045170427404,,7.777021455953017,9.839021455953016,0.5766206706882723,0.1549982409012221,-0.42162242978705017,0.26880451704274044,JADES-GOODS-S
214829,9.14,9.14,-17.974008998432243,,7.417054274255316,9.531054274255315,0.5327691976613603,0.10516911902710516,-0.4276000786342552,0.1974008998432243,JADES-GOODS-S
216713,8.45,8.45,-17.61530937926691,,7.274271955151782,9.319271955151782,0.5922736314986649,0.09567051520522675,-0.4966031162934381,0.1615309379266911,JADES-GOODS-S
223019,18.92,18.92,,,,,0.19286463215883531,,,,JADES-GOODS-S
223543,14.02,14.02,,,,,0.2950688549392841,,,,JADES-GOODS-S
224746,9.94,9.94,-18.594488079828988,,7.67978183791877,9.87378183791877,0.47530655787243187,0.12331771986645716,-0.3519888380059747,0.2594488079828988,JADES-GOODS-S
225161,18.92,18.92,,,,,0.19286463215883531,,,,JADES-GOODS-S
225571,21.99,21.99,-17.452470928224603,,6.655323690906686,10.054323690906685,0.15538448657787338,0.02256914494514671,-0.13281534163272668,0.1452470928224603,JADES-GOODS-S
225940,21.99,21.99,-16.491818025287547,,6.199013562011585,9.598013562011584,0.15538448657787338,0.015538448657787338,-0.13984603792008604,0.1,JADES-GOODS-S
226454,14.8,14.8,,,,,0.27341754959326153,,,,JADES-GOODS-S
226999,18.83,18.83,,,,,0.19418527388461335,,,,JADES-GOODS-S
227280,13.14,13.14,,,,,0.32313477852423683,,,,JADES-GOODS-S
227662,17.42,17.42,,,,,0.21701074552812916,,,,JADES-GOODS-S
227781,10.61,10.61,-16.933864197116613,,6.864185493630391,9.12518549363039,0.43467515927686307,0.04346751592768631,-0.39120764334917674,0.1,JADES-GOODS-S
228011,18.22,18.22,,,,,0.20354645369676805,,,,JADES-GOODS-S
228184,19.0,19.0,,,,,0.1917031989600207,,,,JADES-GOODS-S
