unique_id,ra,dec,z_spec,z_phot,z_spec_flag,field,MUV,MUV_err,log_Mstar,log_Mh,t_cosmic,gamma_t,t_eff,response_z,n_ml,ml_bias,log_Mstar_true
goods-s-mediumhst_9598,53.1618083,-27.7707168,3.3234434813757496,3.49,A,GS,-18.790855992314427,0.22410640870140774,8.41634239692577,9.91634239692577,1.9097527641169587,0.6682637966875107,1.2762186328832668,1996117.6098706934,0.7541601034472251,0.7541601034472251,8.538878843280754
goods-s-mediumhst_9669,53.168334,-27.8133127,4.023861213123978,4.02841,A,GS,-18.543142409799756,0.26579241995724523,8.317256963919903,9.817256963919903,1.5267199339222157,0.6459027884270306,0.9861126624674911,2151741.27023094,0.736405479896254,0.736405479896254,8.450139952311922
goods-s-mediumhst_9686,53.1643765,-27.8038015,3.7013357327173875,3.63,A,GS,-17.868577829005428,2.82398931686709,8.04743113160217,9.54743113160217,1.6856278549359927,0.65177669802998,1.0986529573975394,2081526.12553202,0.741086975758858,0.741086975758858,8.177561950781447
goods-s-mediumhst_9696,53.17752,-27.80252,5.860810791099759,5.89,A,GS,-19.137421794102497,0.17012077431722972,8.554968717640998,10.054968717640998,0.9576724175884307,0.6049361674829525,0.579330682000079,2514542.3490324314,0.7033908028062018,0.7033908028062018,8.70777203224499
goods-s-mediumhst_9697,53.130437,-27.802361,5.93140394774405,5.82,A,GS,-18.824409691578342,0.5625019818347354,8.429763876631336,9.929763876631336,0.9430873071899821,0.6005494952987807,0.5663706063556299,2527445.7221156927,0.6998164783022546,0.6998164783022546,8.584779712203389
goods-s-mediumhst_9735,53.19938,-27.796274,5.976769,6.17,B,GS,-19.485486213991912,0.12931865678367593,8.694194485596764,10.194194485596764,0.9339081787821287,0.6062647944456385,0.5661956500404479,2535703.119531149,0.7044718515393419,0.7044718515393419,8.84633084083466
goods-s-deephst_9743,53.12300483817387,-27.79661121859753,5.438328108681821,5.4497,A,GS,-17.30411839009904,0.21551515381802666,7.821647356039614,9.321647356039614,1.0533795318050456,0.6038637747917934,0.6360977403642069,2435890.634852305,0.7025177217258671,0.7025177217258671,7.974990071803169
goods-s-mediumhst_9781,53.2056695,-27.7899111,3.7781511256402798,3.77,A,GS,-18.860997062501216,0.24255073453215203,8.444398825000485,9.944398825000485,1.64536941950338,0.6551147364787812,1.0779057536682017,2098462.3125970312,0.7437417445537635,0.7437417445537635,8.572976666854998
goods-s-mediumhst_9785,53.1313395,-27.7930126,3.547926603360118,3.82,A,GS,-19.592686461327148,0.058321855485189644,8.737074584530859,10.237074584530859,1.7710854450871822,0.668839193499417,1.184571360710667,2047283.3603721503,0.7546145941852034,0.7546145941852034,8.859349384364515
goods-s-mediumhst_9792,53.167131,-27.794237,5.772031716563872,5.77699,A,GS,-17.540411801791223,0.5895861448382771,7.9161647207164885,9.416164720716488,0.9765540574590041,0.5969225443289642,0.5829271326532023,2498220.252496818,0.6968552672074384,0.6968552672074384,8.07302213369479
goods-s-mediumhst_9818,53.1733264,-27.7838883,4.399450077703718,4.40795,A,GS,-19.469671083956193,0.11306902972345156,8.687868433582477,10.187868433582477,1.3707990016419533,0.6436934492169324,0.8823743375500364,2230724.8130622804,0.7346413384853533,0.7346413384853533,8.821793071006693
goods-s-mediumhst_9833,53.142082,-27.779848,5.920725450583491,5.92602,A,GS,-20.396325111001197,0.11962482828031185,9.058530044400477,10.558530044400477,0.9452697958536874,0.6228138028636248,0.5887270762877573,2525498.0845880173,0.7178781917698349,0.7178781917698349,9.202479284183244
goods-s-mediumhst_9842,53.154087,-27.766062,5.797118376261354,6.03,A,GS,-18.08513275765603,0.23867169136871702,8.134053103062412,9.634053103062412,0.9711563121073179,0.5987217856814866,0.5814524413607405,2502843.2423071293,0.6983249239927497,0.6983249239927497,8.289995560291981
goods-s-mediumhst_9867,53.156129,-27.775854,6.100000978898077,6.54,A,GS,-19.449482804052195,0.2256420237136485,8.679793121620877,10.179793121620877,0.9097085773949503,0.6031586155875012,0.5486985661296133,2557999.3944785185,0.7019433677530069,0.7019433677530069,8.833491046619983
