id,ra,dec,z_spec,z_phot,z_16,z_84,log_Mstar,log_Mstar_16,log_Mstar_84,mwa,mwa_16,mwa_84,met,met_16,met_84,dust,dust_16,dust_84,sfr100,ssfr100,sfr10,ssfr10,chi2,use_phot,log_Mh,log_Mh_simple,t_cosmic,age_ratio,log_ssfr,alpha_z,gamma_t,t_eff,n_ml,ml_bias,log_Mstar_true
16453,3.661060184389768,-30.416506618364412,,4.464503727576167,4.234859917564529,4.640233721858731,8.66129941792846,8.33121930651843,8.871428673711241,0.1552036376742305,0.0595970535731027,0.290200699410945,-0.9641991672667658,-1.4472831491375662,-0.6237693294129788,0.0718985185719876,0.028862281967198,0.1861385093526236,2.9453465573785818,7.377575848102605e-09,5.307546384008788,1.1645918899463402e-08,145.67756205908034,1,10.354204173342495,10.66129941792846,1.346471092988531,0.1152669659842095,-8.132086316867909,2244122.687228618,0.9392975840063628,1.2647370445785338,0.9,0.9451981974804038,8.685776533179153
16474,3.615129630624779,-30.41645665507997,,4.649380943110719,4.604971560765972,4.705474796719831,8.093007720508924,7.774507397516872,8.394700537824571,0.2292042218815342,0.1137999327321132,0.3710668781390935,-0.9974215831526978,-1.5950595482763583,-0.5377317843494057,0.1378538488302605,0.077322936317784,0.2625194065832532,0.5919632722376725,5.459008003436802e-09,0.5631056910290272,4.3293114414626965e-09,14.200649744723258,1,9.71983944540428,10.093007720508924,1.281103968683596,0.1789114915607154,-8.262886268975612,2281768.9359728866,0.9161511391998898,1.1736848603429766,0.9,0.9242094681381857,8.127237307138719
16524,3.5546254996243496,-30.416316363352657,,9.175867713338716,7.604885187606967,11.707447691733195,8.323390606968612,7.88953202223066,8.82370864429551,0.0782213944669081,0.0347522724872306,0.172796074316095,-0.7304421999216808,-1.4845519039232795,-0.1686183704780226,0.2700586386172008,0.0990412157842099,0.7330519460670804,1.5766476355743588,8.947735305461617e-09,2.525429263601998,1.5805520048279758e-08,27.36468067876333,1,9.746936281998538,10.323390606968612,0.5299498284726153,0.1476015091699386,-8.048286871812524,3062365.0475756414,0.8898464390381398,0.4715739677352297,0.5,0.9433167225477028,8.348733073552028
16564,3.6079270636926783,-30.41628888412475,,4.102924002240887,4.035934476922102,4.143058030469175,8.054009201611368,7.958333408480009,8.121345274592745,0.1069807317125554,0.0711611418533167,0.1690953698259599,-1.655362407811396,-1.8362823210142576,-1.4535448304822918,0.099539579807075,0.0701934798819577,0.1802488392033265,0.875276321492414,8.069905370848458e-09,0.3844868155499993,3.419364686861332e-09,38.34369398790988,1,9.70426392166046,10.054009201611368,1.491528317313677,0.071725578703885,-8.093131557862725,2168606.6403258108,0.9198391765708456,1.3719661792299116,0.9,0.9275572242812836,8.086668489337258
16593,3.620789032250169,-30.41619579108691,,8.626803477765307,8.251063383347878,8.851685422145364,8.230350657668202,8.065746036761748,8.491945475268944,0.0901329296968707,0.0425867211474684,0.1603199713854329,-0.9586131554456928,-1.5586702344439929,-0.2299564719654039,0.0554572414051165,0.018516770312342,0.1248113122722114,1.4003418186273215,8.512508260921356e-09,2.9253897538823086,1.7776439150696923e-08,6.962070511696876,1,9.672045549546755,10.230350657668202,0.5760085757562217,0.1564784509996892,-8.069942453620031,2978600.692457535,0.8907802778658123,0.513097079165218,0.5,0.943811569046392,8.255465361136991
16646,3.573375076803585,-30.416094119524043,,4.316870764626367,4.287072077328012,4.332823651868075,8.371768437675707,8.119288460106812,8.613275682019797,0.2722305915400611,0.145904191576271,0.4578305815531214,-0.8047196097135131,-1.2017681142615868,-0.5218373918009225,0.2159507194006465,0.1105068627062555,0.3344211120070753,0.9637014814092694,4.763495202537498e-09,1.533986013242962,6.603467680327269e-09,19.5507844329786,1,10.04310174321196,10.371768437675708,1.4027478131317308,0.1940695176934816,-8.322074267837497,2213600.7085017976,0.9268925738404502,1.3001965309627328,0.9,0.9339560987284835,8.401441975287229
16806,3.56058645304598,-30.415587453433233,,4.255646368434758,1.6933085519199875,9.013094023182738,8.008437889608055,7.458883876018932,8.527752411717426,0.2403557320635326,0.0644141616575043,1.039897864296808,-0.7498833004764633,-1.4059407547741511,-0.1287296199255049,0.8297253238100484,0.3284010024703635,1.561065248068538,0.4200326236605289,5.016052549309786e-09,0.5630947395006998,5.875888542218109e-09,20.43360470873734,1,9.646499360147123,10.008437889608055,1.4272405256415377,0.1684059047829334,-8.299637922385529,2200818.868773501,0.9176341297414777,1.3096846176788417,0.9,0.925555790463091,8.042035287415947
16858,3.562087404547084,-30.41551795496837,,7.95539768784883,7.94244302860594,7.966001328663936,9.992455467807176,9.873907549400387,10.09752224078516,0.0238315878463432,0.0137016260937734,0.0513740551526097,-1.7359205789240657,-1.8864779766614177,-1.5844630070608594,3.7927084294111606,3.5837410236736296,3.935966316962189,103.0991049628221,1.0813693925782598e-08,364.5808503005555,3.866299831836915e-08,122.96869181217724,1,11.643931130195451,11.992455467807176,0.6420794086123252,0.0371162624539673,-7.966025926994983,2872854.766451218,1.2480874510069935,0.8013712524390347,0.5,1.1171783434201512,9.944332959525331
16883,3.623356150967652,-30.41585443057092,,6.7271065665637515,6.641636572227713,6.8114563050552315,8.478783623426583,8.276765145247154,8.65138910919418,0.1095613125259128,0.0690582327438179,0.1511411474285652,-1.4120388948988751,-1.7805624579476675,-1.0875096177126946,0.0149201987803103,0.0040945907732953,0.0419770050837042,2.338742684110738,8.027466990379654e-09,3.153070350424548,1.0394553492514689e-08,15.813666928142757,1,10.040306657441054,10.478783623426583,0.8012421009575958,0.1367393355828055,-8.095421471613275,2668576.664018696,0.9124328985794832,0.7310796526406541,0.5,0.9552135355926878,8.498683155546269
16904,3.63553387500432,-30.41545417434788,,4.173404569373442,3.9819003542223297,4.439851943672499,8.580360459471631,8.34238014895092,8.789512388863967,0.1941603540619312,0.0829782621435992,0.3346745652890459,-1.3436069869221394,-1.671656555733653,-0.9263213376331456,0.3257977840160852,0.1893727323515667,0.4825562945587828,2.3758403904052576,6.609007596292177e-09,3.7160137685923753,9.373727328631794e-09,2.7488905267059276,1,10.279726276950122,10.580360459471631,1.461275598052532,0.1328704553204694,-8.179863748957853,2183531.463280198,0.937158918780086,1.3694474595106343,0.9,0.9432610866144895,8.605728541090567
