id_msa,ra,dec,z_spec,flag_zspec_qual,flag_emission_lines,log_Mstar,log_Mstar_16,log_Mstar_84,dust2,dust2_16,dust2_84,mwa,met,sfr100,ssfr100,logfagn,UV,VJ,chi2,gamma_t,t_eff,log_Mh,ml_bias,log_Mstar_true,response_z
13123,3.579828558636116,-30.40156942018814,7.039813,3,1,10.326235523322412,10.259080854545934,10.385154545926572,2.8808510920192267,2.7381164130584845,3.018126465597115,0.3315371155561649,-0.4235518136161389,18.20126284333734,8.78004245947358e-10,-3.129851429123316,1.7392659291440893,1.9824443274428702,298.36811383752183,1.4513524626311214,1.0956749617336057,12.326235523322412,1.2978993828201533,10.21299449740639,2722038.1446261914
14087,3.640464141784403,-30.39925814103492,2.72589,3,1,8.9175417166465,8.799603437165677,9.074794838847767,0.17570228482647654,0.050396517333877754,0.40499218604138926,0.544687393238269,-0.7937643432808932,1.3069396963529492,1.4731104392954925e-09,-2.133822340085239,0.639722911450388,0.16701935124979883,1.077694628722766,0.7290202919497272,1.736305202792053,10.9175417166465,0.8015262162957492,9.01362398483297,1853046.2012588892
14397,3.57730915306663,-30.40158450809923,2.590551,3,1,9.20477166838963,9.120792588020102,9.309931944765568,0.3569581011014409,0.23681861533814183,0.49660368906672453,0.45775220643430287,-0.7404540887964517,4.49952832169269,2.7565417858564774e-09,-1.7762686657875295,0.7172280882671735,0.3189930534006642,44.29424147976793,0.7633965896732038,1.9204809231673097,11.20477166838963,0.8277994830307885,9.286846517546135,1819079.9327132383
14398,3.57790171128664,-30.40099235018795,1.297464,3,1,9.617975947572992,9.565543285517006,9.69678554184703,0.3063180796220092,0.11855586747233753,0.5039622412531441,1.7573561472230732,-0.6224458502615808,0.6092549200567494,1.363771556070402e-10,-0.6377035799334938,1.12563755791086,0.5639996359942892,14.568033358019525,0.8729154823532339,4.204399303861257,11.617975947572992,0.9092441959271411,9.659295410114442,1455109.2132207807
14411,3.576619032908668,-30.40180125373854,3.985362,3,1,8.366689805757964,8.316574774067112,8.40929547876318,0.12184662048709163,0.11148325078557508,0.14621159610289922,0.5231635507866019,-1.2794642476122693,0.969593747876327,4.185544934034825e-09,-2.7978986081931247,0.3103845933107543,-0.5008995729256114,185.60187311719753,0.6606865569310924,1.0203363310611568,10.366689805757964,0.7481640380823332,8.492692976578684,2143480.7251757598
14573,3.565413500879167,-30.39832137593697,1.690981,3,1,8.472828515188885,8.379697867488293,8.626152597762932,0.0596376288098511,0.03502386927967133,0.10638774936666429,0.7086706192594874,-0.47930341346056526,0.8218635487270883,2.6838887331781125e-09,-2.628204120407858,0.439680692401641,-0.009042426537838821,14.85026119976062,0.7410165747317333,2.8445358484651404,10.472828515188885,0.8107361635996759,8.563948969652184,1574804.143250836
14880,3.586331525730275,-30.40154576412095,1.82895,3,1,8.491315535624254,8.455811692142902,8.546015646800965,0.07850983383525803,0.03444216489997304,0.11825821103811629,0.25812916217697457,0.1537058218248719,1.1388581007599627,3.620638435784449e-09,-4.0609495522497,0.6113817469188589,0.23447189465264628,153.5331420981235,0.7361057322267325,2.6278048146949855,10.491315535624254,0.8069713938533337,8.584457395836314,1614670.3440640755
15383,3.583534552387626,-30.39667857268421,7.042226,3,1,10.110755209477874,10.0738285834405,10.157656624258442,3.0418275088561773,2.9481526344898072,3.1340724485002585,0.24688617007287525,-0.34300987094439495,41.962246247448434,3.237172669807406e-09,-2.9462097601766146,1.5520628707502873,2.0230679463868775,479.8014753507046,1.1120612341418474,0.8391545343112697,12.110755209477874,1.0771844892237517,10.078465118259599,2722446.5984845324
15989,3.571727083234977,-30.395616262396,3.696915,3,1,8.574892568165827,8.32307058912195,8.692877286852022,0.43372422236668806,0.2766322383152749,0.5993183978646075,0.34010060548803733,-1.205546182638669,1.2340518806736864,3.638592005924525e-09,-2.259480240032764,0.4068247089158419,0.03131962781771236,34.49871720160173,0.6778259894956837,1.1441663972982294,10.574892568165827,0.7616978885344682,8.693109816457305,2080547.251085637
16388,3.568819256249635,-30.39552577240471,2.437367,3,1,9.712690180846943,9.656296005348093,10.06051083943428,0.8388342156527383,0.550074277565161,1.068111772084183,0.3808744360287597,-0.6272567592404221,21.481790159908194,3.952796182126645e-09,0.1138456188611352,0.9651046195283861,0.8611837879696971,21.251744452220525,0.8749145440753042,2.347398243037176,11.712690180846943,0.9107012763404241,9.753314235610492,1779853.2038345183
16594,3.597202696492125,-30.39432868826726,7.041422,3,1,9.38339781479208,9.260276374951836,9.5334582633489,2.201087322187366,1.9883280557950644,2.4206858672090275,0.15298523972730643,-0.3048633781120362,15.747323936190808,6.508229643653194e-09,-2.3529405339608513,1.3218996617976906,1.7482326544278521,88.71594084522542,0.7042021270972662,0.5314663138590207,11.38339781479208,0.782326664458268,9.490009682002608,2722310.510430432
16863,3.631389794646223,-30.39381459579425,5.133747,3,1,8.330450212006063,8.289952757286585,8.37968032531021,0.2323221767437888,0.18462797746069592,0.2960572891536791,0.01845091530193442,-1.8200005136619435,2.2808441205821692,1.0836448647983372e-08,-2.1885289064520794,0.5830055943435504,-1.0290753314349246,30.39920311768786,0.6300546631924556,0.7136573374221681,10.330450212006063,0.7237103125366003,8.470885450840795,2377574.653969881
16987,3.632659348567927,-30.39363622622898,3.970784,3,1,9.972656329703497,9.822067265907146,10.131450553698526,1.0648884377517522,0.87103890828423,1.2841534713642389,0.3631118283524733,-0.4755120622639336,38.4593248439124,4.151658423867055e-09,-1.6089642610517223,1.1277982952132461,1.0818581512792385,11.225357202372626,0.9816488136733397,1.522659629515961,11.972656329703497,0.9871185249410753,9.978287027451868,2140344.4896558127
17089,3.626803309604352,-30.3932550693055,1.327061,3,1,8.33742435607573,8.246156826468473,8.444648251028125,0.06860513543717867,0.03475306366665826,0.2012702242261234,0.7554493996295423,-0.2729220295280492,0.29350250662542865,1.399865019449918e-09,-2.940244581838912,0.6684330498524425,0.18488498938355136,11.134578745503427,0.7525569838863428,3.559332749783467,10.33742435607573,0.8195539981473885,8.423846782763643,1464451.9171348712
17201,3.562335390813489,-30.39300588012083,4.281478,3,1,8.116536769030231,7.95336269893917,8.213165252300051,0.046262111414221097,0.020215093038872277,0.08865718916391868,0.15644152487460292,-1.6834561886521024,0.9485763625518141,7.686083788442292e-09,-2.316237070020733,-0.08250022208391883,-0.5424596509997457,86.1701805607392,0.64488912397422,0.9136923214097231,10.116536769030231,0.7355963012707157,8.249897232180555,2206220.778797988
17378,3.556863231734695,-30.39258019997243,2.210754,3,1,8.231445731798212,8.157067250161884,8.277881950776012,0.12755627749505205,0.04772203111544433,0.23722975886366082,0.6838987092830882,-1.720037830693105,0.02673801137235049,1.5514776305307972e-10,-1.9521612404580986,0.6507792615496903,-0.10202681966451621,22.28046585513608,0.7130831274895143,2.1152837715014043,10.231445731798212,0.7892200545529449,8.33424761939568,1720183.3874328632
18023,3.566944483899502,-30.39134311591738,2.403845,3,1,8.150164312744796,8.020214942120342,8.294456731796737,0.20051553706749414,0.07599467806128467,0.3513479710587937,0.5017934500401454,-1.0121625564643522,0.3638987531512045,2.490922341123857e-09,-1.0736269581635276,0.534027517294593,-0.019483369012036178,23.83622680687636,0.703932241764249,1.9161454947910286,10.150164312744796,0.7821167738077681,8.256892712582369,1771153.1701126248
18045,3.588865982784674,-30.39179887128784,1.346455,3,1,9.509456868633379,9.339904025192373,9.5655168846557,0.1725964268706001,0.0831439278649588,0.359293789624863,1.4103816451290023,-0.0116489470228327,3.0897200419520656,9.394510113377734e-10,-1.534897437297511,0.7354815673304458,0.48596754476191606,9.969067472089954,0.8489242875535196,3.967950184120612,11.509456868633379,0.8916784508323452,9.559248597447034,1470541.7124311705
18113,3.563607128244524,-30.39234196139302,5.150331,3,1,8.53998687896706,8.471954582359375,8.605404248667055,0.06621250925530128,0.02558575065991614,0.1683613871735289,0.19221445461894135,-1.7059668461778528,1.6524458269425282,4.884717152244864e-09,-1.7144648563007594,0.1415069615074529,-0.42702073777577,83.54850195954761,0.638959373819023,0.7208230947665244,10.53998687896706,0.7308550835071248,8.676155606896215,2380786.645123834
18407,3.562749052812184,-30.39094895761764,3.978884,3,1,10.221677077905015,10.14494010682452,10.283703773968076,0.8078163059862756,0.6701506761841445,0.9516922438631172,0.7863218053417917,-0.3339597961287475,1.8241509628202235,1.0394911806047925e-10,-2.1543076073256535,1.7375075297630218,1.031698695746929,50.358919472106244,1.2005690190875402,1.8577108113240055,12.221677077905015,1.1365040625106713,10.16610608542624,2142087.6486269184
18471,3.586734331113893,-30.39077691529309,2.211075,3,1,9.638871017560149,9.538257749885215,9.694604943684656,0.19005865779435305,0.14180083938437674,0.2906717797311275,0.7207438328329766,-0.1092504750991472,9.71970739533656,2.147964667770176e-09,0.16740111104540212,0.6854199519024391,0.5235911674981644,22.896003673142484,0.8571715046409796,2.5423328467786632,11.638871017560149,0.897733450187596,9.685723609953577,1720269.3742550903
19007,3.555707505530983,-30.39034508071001,3.203452,3,1,8.375036431016406,8.113133631544747,8.54175003093386,0.12371045470951555,0.07836748175845532,0.2227766589061719,0.38305289002161896,-1.0035178590878444,0.7820970532223575,3.5090374390613757e-09,-2.505165062898043,0.3493491611357342,-0.06624013320546851,56.6276419836427,0.6837578426055924,1.3616432924799509,10.375036431016406,0.766357874908941,8.490604806550039,1968222.8946946023
19179,3.591432469439992,-30.38951036624599,1.368616,3,1,9.062057987354205,8.976958580334575,9.13562499744954,0.06548301023743039,0.022849400518865484,0.14122365973483647,0.7977532923959711,-0.31444852731559136,2.1131290463652697,1.8158778064243864e-09,-2.299395170176761,0.553283513435634,0.2125053190790851,21.839133389209625,0.788730340630252,3.637524619715653,11.062057987354205,0.8469348099544938,9.13420800413874,1477469.629332529
